epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,808.923,0.55698,0.87173,0.5833,1.07611,0.66492,0.65817,0.64601,0.45064,0.68658,0.66687,0.66011,0.45495,1.02421,2.16216,1.27775,1.42825,0.000844253,0.000844253,0.000844253
64,820.521,0.5367,0.85581,0.53434,1.05531,0.5712,0.70044,0.629,0.43504,0.5929,0.72022,0.6674,0.45352,1.0317,2.10348,1.38377,1.4543,0.000834822,0.000834822,0.000834822
65,831.666,0.54364,0.92317,0.55539,1.06671,0.70669,0.67981,0.67889,0.46125,0.72807,0.69498,0.70131,0.47282,1.04189,2.04263,1.17514,1.48276,0.00082539,0.00082539,0.00082539
66,844.465,0.55811,0.90977,0.56805,1.08421,0.63381,0.69664,0.64712,0.45043,0.65979,0.7129,0.66137,0.4524,1.03917,1.83254,1.24904,1.48693,0.000815959,0.000815959,0.000815959
67,856.957,0.53324,0.85432,0.54835,1.06255,0.69163,0.5445,0.67372,0.473,0.69613,0.55926,0.66183,0.47082,1.045,1.83889,1.32954,1.46805,0.000806528,0.000806528,0.000806528
68,869.333,0.5346,0.8558,0.54121,1.06255,0.75764,0.65919,0.696,0.49103,0.73815,0.68457,0.70042,0.48817,1.08992,1.8676,1.19894,1.49635,0.000797096,0.000797096,0.000797096
69,882.614,0.51638,0.82972,0.52496,1.04853,0.76796,0.6324,0.68801,0.47297,0.76044,0.62978,0.68419,0.48634,1.0445,1.86989,1.19657,1.49711,0.000787665,0.000787665,0.000787665
70,895.118,0.52995,0.87015,0.54273,1.07128,0.65472,0.70511,0.68005,0.46502,0.66191,0.71355,0.69625,0.49715,1.02461,2.04842,1.31699,1.45689,0.000778233,0.000778233,0.000778233
71,906.483,0.51619,0.86536,0.52284,1.04891,0.662,0.59593,0.64837,0.44278,0.67574,0.61567,0.65339,0.47835,1.0531,1.95512,1.39399,1.47693,0.000768802,0.000768802,0.000768802
72,919.516,0.51991,0.82662,0.54819,1.05348,0.72353,0.71784,0.71396,0.50776,0.71381,0.70548,0.68549,0.48359,0.98645,2.03325,1.21317,1.40082,0.000759371,0.000759371,0.000759371
